"","Gene1","Gene2","Gene3","Gene4","Gene5","Gene6","Gene7","Gene8","Gene9","Gene10","Gene11","Gene12","Gene13","Gene14","Gene15","Gene16","Gene17","Gene18","Gene19","Gene20","Gene21","Gene22","Gene23","Gene24","Gene25","Gene26","Gene27","Gene28","Gene29","Gene30","Gene31","Gene32","Gene33","Gene34","Gene35","Gene36","Gene37","Gene38","Gene39","Gene40","Gene41","Gene42","Gene43","Gene44","Gene45","Gene46","Gene47","Gene48","Gene49","Gene50","Gene51","Gene52","Gene53","Gene54","Gene55","Gene56","Gene57","Gene58","Gene59","Gene60","Gene61","Gene62","Gene63","Gene64","Gene65","Gene66","Gene67","Gene68","Gene69","Gene70","Gene71","Gene72","Gene73","Gene74","Gene75","Gene76","Gene77","Gene78","Gene79","Gene80","Gene81","Gene82","Gene83","Gene84","Gene85","Gene86","Gene87","Gene88","Gene89","Gene90","Gene91","Gene92","Gene93","Gene94","Gene95","Gene96","Gene97","Gene98","Gene99","Gene100","Gene101","Gene102","Gene103","Gene104","Gene105","Gene106","Gene107","Gene108","Gene109","Gene110","Gene111","Gene112","Gene113","Gene114","Gene115","Gene116","Gene117","Gene118","Gene119","Gene120","Gene121","Gene122","Gene123","Gene124","Gene125","Gene126","Gene127","Gene128","Gene129","Gene130","Gene131","Gene132","Gene133","Gene134","Gene135","Gene136","Gene137","Gene138","Gene139","Gene140","Gene141","Gene142","Gene143","Gene144","Gene145","Gene146","Gene147","Gene148","Gene149","Gene150","Gene151","Gene152","Gene153","Gene154","Gene155","Gene156","Gene157","Gene158","Gene159","Gene160","Gene161","Gene162","Gene163","Gene164","Gene165","Gene166","Gene167","Gene168","Gene169","Gene170","Gene171","Gene172","Gene173","Gene174","Gene175","Gene176","Gene177","Gene178","Gene179","Gene180","Gene181","Gene182","Gene183","Gene184","Gene185","Gene186","Gene187","Gene188","Gene189","Gene190","Gene191","Gene192","Gene193","Gene194","Gene195","Gene196","Gene197","Gene198","Gene199","Gene200"
"Cell488",0,0,0,238,0,0,124,21,0,0,2941,0,557,0,0,0,875,9,78,0,0,2995,0,0,0,92,157,143,0,0,0,120,0,331,0,109,0,0,0,0,278,86,0,93,0,3800,0,0,3963,0,229,0,0,0,0,0,73,0,0,0,0,276,0,0,0,0,0,0,321,0,0,0,99,0,0,0,42,0,0,0,266,0,0,144,435,0,68,0,844,0,57,0,512,0,575,0,0,0,0,334,0,0,24,0,0,0,0,13,0,0,0,195,0,128,289,0,206,3750,328,0,0,0,0,0,0,260,107,0,113,0,0,0,0,0,0,69,0,0,0,109,195,0,0,0,144,0,0,403,0,0,39,199,285,49,1194,78,25,0,452,0,123,0,109,0,0,0,371,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,185,0,625,29,0,0,2289,2204,0,162,505,0,0,110,283,774,0,92
"Cell489",0,66,0,368,0,224,306,0,156,0,3774,0,1081,466,0,0,1596,0,127,0,47,3896,0,216,253,183,195,149,71,0,0,102,62,744,10,0,0,82,122,0,485,147,29,135,0,9188,0,0,6979,0,0,0,0,0,187,0,0,0,0,0,186,673,44,0,377,0,0,191,962,0,0,0,227,24,0,0,0,78,244,0,302,0,0,351,831,0,117,0,0,0,92,0,727,0,0,0,0,0,0,659,0,152,0,0,0,0,0,0,0,0,0,158,45,0,257,0,366,7482,651,0,0,0,0,0,0,239,204,691,223,0,0,249,0,110,0,0,0,64,235,209,220,0,130,0,0,0,0,904,40,0,0,359,0,0,1949,193,0,136,738,0,170,1254,0,0,0,0,0,46,0,0,0,0,320,0,0,0,0,116,168,0,94,220,306,0,1067,0,0,429,3447,4046,0,195,549,0,0,169,320,1472,0,0
"Cell490",14,0,0,0,0,0,166,0,121,0,2390,0,554,0,0,0,888,0,0,0,0,3076,0,0,232,121,0,0,52,0,4,134,0,363,0,121,0,0,0,0,317,98,14,0,0,4475,0,0,4578,0,308,0,0,0,0,0,0,0,0,8,0,0,0,0,0,40,0,117,367,0,0,0,0,0,0,0,54,0,108,0,0,0,0,0,617,0,76,0,523,0,46,0,609,0,618,0,0,0,0,356,0,0,0,0,0,0,0,0,0,110,0,113,0,185,180,315,0,4367,0,0,0,0,0,0,0,0,0,448,0,0,0,0,233,159,0,0,0,0,0,0,0,0,0,0,0,0,0,535,0,0,0,228,223,0,1323,0,0,90,577,0,127,938,79,0,0,0,417,0,0,0,0,28,0,0,35,0,0,0,0,0,0,197,187,0,628,16,0,196,2311,2526,0,166,0,0,0,0,0,1014,0,0
"Cell491",18,0,0,340,0,293,340,0,172,0,3494,0,754,349,0,0,737,0,0,0,0,4289,0,263,240,182,270,237,0,385,0,164,0,665,0,157,0,0,0,0,489,0,17,84,0,6013,0,0,7181,0,417,0,0,0,0,0,152,0,0,0,128,0,0,0,0,0,0,240,521,0,0,0,0,0,0,0,46,0,0,0,309,37,0,0,750,0,0,0,972,0,0,0,0,0,689,4,0,0,32,482,0,0,0,0,0,0,173,0,0,125,0,205,26,216,377,0,0,6677,884,0,0,0,0,0,0,0,171,478,198,128,0,179,0,0,0,0,0,0,201,209,302,0,92,0,257,0,0,929,0,0,0,0,0,81,1826,159,0,198,801,0,196,1346,155,0,0,170,700,0,0,0,0,0,308,0,0,0,0,0,0,0,88,139,282,0,1560,0,0,462,0,3988,0,0,417,0,0,0,429,1535,0,0
"Cell492",0,51,0,325,22,0,174,0,172,0,0,0,563,297,0,0,986,0,0,0,0,4683,0,251,299,182,0,0,0,473,0,170,0,673,0,0,72,127,99,0,0,0,0,155,0,5579,0,0,5757,0,354,0,38,0,183,0,0,0,0,0,0,0,0,0,225,38,0,235,1674,0,0,0,0,21,0,0,0,88,0,0,0,0,0,0,765,0,130,0,579,0,0,0,0,0,716,0,0,0,0,453,0,0,0,0,0,0,0,0,26,176,0,449,0,0,329,328,303,5086,599,0,0,19,0,0,0,0,139,284,0,0,0,0,0,123,0,0,0,0,143,0,231,0,58,0,0,0,0,675,0,0,0,294,0,0,1793,156,0,0,637,0,106,1012,130,0,27,0,406,0,0,0,0,0,309,0,0,0,0,95,96,0,0,106,289,0,703,0,0,330,3156,2400,0,220,394,0,0,158,363,1218,0,0
"Cell493",41,54,0,290,0,371,355,0,0,0,0,0,720,0,0,0,780,0,0,0,0,4424,0,0,0,0,0,0,0,371,0,0,0,693,0,186,33,0,0,0,396,0,0,0,151,6424,0,0,6623,0,0,0,0,0,0,0,0,0,0,16,152,699,0,0,465,0,0,208,0,0,59,0,131,0,0,0,0,85,0,0,0,0,0,0,1096,0,248,0,0,0,0,0,0,0,1070,0,0,0,0,687,0,0,0,0,0,0,113,0,0,0,0,334,0,0,0,0,0,6512,0,0,0,0,0,0,0,298,150,426,158,0,0,0,246,0,0,0,0,0,232,115,0,0,91,0,138,0,0,667,46,0,0,367,498,0,1702,0,0,229,955,0,0,1449,133,0,50,0,564,0,0,0,0,0,516,85,0,0,0,0,0,0,0,0,258,0,1189,0,26,0,0,3772,0,227,483,0,0,0,328,1485,0,132
"Cell494",0,0,0,366,0,0,261,0,144,0,3749,0,653,419,0,0,963,0,0,0,56,5485,0,0,358,0,0,0,0,0,0,151,0,0,0,0,0,191,0,0,498,0,0,0,0,6001,0,18,6889,0,517,0,0,16,265,0,146,0,0,0,0,500,0,0,0,0,0,207,1857,0,0,32,145,0,0,0,40,0,153,0,0,0,0,252,929,26,169,0,588,0,0,0,672,0,791,0,38,0,0,631,0,146,0,47,0,0,123,0,0,255,0,0,0,308,362,391,0,7458,470,0,0,0,0,0,47,220,131,418,146,92,0,0,0,0,0,127,0,0,0,167,292,0,0,0,186,0,0,871,53,0,0,0,0,109,2280,0,0,217,991,0,183,1217,0,0,0,0,662,30,0,0,0,0,344,190,0,0,0,0,66,0,113,0,243,0,903,0,0,349,3420,2218,0,192,603,0,0,197,403,1536,0,0
"Cell495",0,0,0,0,0,0,258,21,143,0,4000,0,665,0,0,0,1034,0,0,0,0,5550,59,0,0,0,282,0,0,587,0,215,0,668,0,199,0,0,133,0,573,187,0,0,0,6564,0,9,7357,0,374,0,0,0,257,0,0,51,0,0,80,613,0,0,275,0,0,221,2007,0,103,0,190,0,0,75,0,65,190,0,364,0,0,216,880,0,0,0,472,0,0,0,809,0,1041,0,0,0,31,652,0,160,0,56,0,0,148,23,0,231,0,601,0,262,422,0,0,7266,545,0,0,0,0,0,0,260,0,453,0,0,0,190,0,0,0,200,0,0,0,165,305,0,0,0,262,62,0,764,54,37,0,0,425,85,2632,0,0,129,637,113,165,1203,0,0,0,0,0,0,0,0,0,166,0,0,0,0,0,0,91,0,0,146,0,0,873,0,0,263,3503,2775,0,335,520,0,0,0,367,1165,0,0
"Cell496",0,0,16,486,0,0,311,35,251,0,3893,0,932,488,0,0,1267,0,127,0,39,5027,0,0,0,0,273,164,70,521,0,0,0,605,0,222,0,0,0,13,480,196,0,0,120,7315,0,16,7606,0,489,0,0,0,135,67,166,27,0,0,0,0,0,0,317,0,0,206,533,0,0,0,147,0,0,17,0,0,0,134,0,0,31,330,774,0,0,0,946,0,0,0,1027,0,778,0,0,0,0,525,0,179,41,0,0,0,0,0,14,213,0,0,0,0,0,363,284,7645,498,0,0,0,0,99,0,275,182,641,163,116,0,0,170,175,0,0,0,0,166,0,351,0,68,0,0,0,0,835,0,18,0,443,572,135,2253,0,63,87,658,0,181,1375,130,0,0,226,778,0,0,0,0,0,0,0,0,0,0,126,0,0,0,0,276,0,976,0,0,0,3643,3960,0,0,0,0,0,160,477,1619,0,165
"Cell497",0,36,0,0,15,260,0,0,164,0,3096,0,506,333,0,0,804,0,115,0,0,4726,0,200,237,0,285,205,0,0,0,95,0,422,0,172,0,156,0,0,397,0,0,166,0,5450,0,0,5067,0,303,0,0,0,162,0,130,0,0,0,0,622,18,0,290,0,0,188,517,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,825,0,0,0,868,0,0,0,760,0,854,0,0,0,0,0,0,0,0,0,0,0,123,0,0,0,0,0,0,186,0,0,0,5846,782,0,0,0,0,107,0,0,144,431,193,0,0,227,134,0,0,75,0,0,176,228,216,0,0,0,0,0,0,659,0,0,0,340,450,0,1776,129,37,0,797,123,136,1262,0,0,43,0,564,0,0,0,0,82,393,0,0,0,0,0,0,0,100,0,0,24,1133,0,0,238,2596,3210,0,136,551,0,15,0,0,1479,0,172
"Cell498",0,0,0,0,0,347,241,0,0,0,2566,0,946,0,0,0,972,0,0,0,0,4477,0,0,0,138,0,149,0,0,0,106,45,732,0,181,0,0,0,0,0,0,0,0,195,6203,0,0,6192,0,444,0,0,0,124,0,122,0,0,0,0,553,42,0,0,0,0,0,454,0,78,0,133,0,0,0,60,0,0,0,0,0,0,0,0,0,112,0,923,0,0,0,749,0,680,0,0,0,0,516,0,0,57,0,0,0,98,0,28,0,0,258,0,0,0,0,0,5631,488,0,0,0,0,0,17,193,93,635,147,0,0,139,0,0,0,0,0,0,128,0,0,0,0,0,161,0,0,779,0,0,0,285,377,0,2222,133,0,0,688,0,0,1285,0,0,0,233,0,0,0,0,0,80,410,116,0,0,0,0,132,0,146,166,276,0,708,0,26,237,2764,3204,0,163,459,0,0,0,0,1160,0,0
"Cell499",0,37,0,228,0,0,156,0,134,0,2331,0,596,0,0,0,0,0,0,26,0,3176,0,0,198,122,181,0,0,312,0,0,0,372,0,0,50,78,0,0,0,0,0,0,0,5447,0,0,5092,0,252,0,0,3,66,0,68,0,0,0,168,0,0,0,277,0,0,0,455,0,0,0,95,19,0,0,0,0,0,83,182,0,0,210,603,0,74,0,516,0,0,0,575,0,635,0,0,0,0,418,0,101,0,0,0,0,0,0,0,0,0,0,0,0,0,317,182,3604,461,0,0,0,0,62,0,144,95,409,102,0,0,0,122,0,0,0,0,0,173,0,224,0,56,0,0,0,0,675,0,0,0,0,0,0,1139,166,0,0,586,102,0,774,0,0,0,146,409,0,0,0,0,0,0,132,24,0,0,0,0,0,57,199,0,0,599,0,0,190,2132,2315,0,151,390,0,0,119,350,982,0,0
"Cell500",0,45,0,327,0,0,201,0,0,0,2348,0,589,0,2,0,0,0,0,0,0,2753,0,117,0,84,0,0,0,0,0,79,0,0,0,152,0,0,0,0,315,0,0,0,81,4098,0,0,4882,9,283,0,0,0,0,0,0,0,0,0,0,0,0,0,210,47,0,120,325,0,0,0,0,0,0,0,0,0,0,83,205,0,19,145,544,22,0,0,639,0,0,0,498,0,0,0,0,0,0,456,0,0,0,0,0,0,0,0,0,110,0,0,0,0,202,0,0,3815,309,0,0,0,0,53,0,0,0,360,0,0,0,0,0,0,0,0,0,0,150,0,0,0,0,0,128,0,0,473,0,0,0,0,297,0,1010,0,0,0,0,0,0,0,0,0,0,157,320,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,210,0,503,12,0,232,2518,2307,0,151,297,0,0,0,223,859,0,0
"Cell501",17,48,0,0,0,0,0,0,0,0,2495,0,728,0,0,0,803,0,0,0,0,3269,0,0,0,115,0,0,0,346,0,0,89,426,0,91,0,0,0,0,397,104,0,89,0,5439,0,0,4840,0,0,0,0,0,0,0,0,0,0,0,0,555,0,0,317,0,0,0,498,0,0,0,0,0,0,0,0,37,142,110,0,0,0,222,0,0,0,0,880,0,0,0,603,0,0,0,0,0,0,451,0,0,0,0,0,0,0,0,0,150,0,246,0,119,0,0,0,5616,0,0,0,0,0,77,0,0,0,0,0,0,0,0,216,105,0,88,0,0,163,133,0,0,91,0,0,0,0,470,42,0,0,317,408,0,1307,0,0,0,675,0,117,1031,0,0,0,124,515,0,0,0,0,0,0,0,0,0,0,0,126,0,71,170,0,0,0,0,0,0,2466,2565,0,0,390,0,6,0,0,1155,0,0
"Cell502",0,0,0,0,0,316,0,0,0,0,3073,0,0,426,0,0,1073,6,0,0,0,3166,31,0,263,0,0,119,49,412,0,134,48,564,0,158,0,0,0,18,0,148,0,100,0,5801,0,0,5911,0,240,0,0,0,0,0,0,0,0,0,0,513,0,0,0,57,0,0,0,0,0,0,0,0,0,0,0,62,0,0,338,0,18,0,811,0,0,0,971,0,56,0,599,0,767,0,9,0,0,484,0,0,0,0,0,0,0,0,0,141,0,0,0,0,390,311,307,5370,359,0,0,0,0,0,0,261,119,666,0,88,0,0,0,0,0,0,0,0,0,0,172,0,0,0,0,0,0,618,0,0,0,0,334,0,1427,123,0,84,525,0,110,1326,0,0,0,168,579,0,13,0,0,0,0,0,24,0,0,0,114,0,0,162,215,0,608,0,0,231,2348,3342,0,0,526,0,0,0,444,1018,0,0
"Cell503",0,0,0,0,0,0,0,0,0,0,2304,0,420,355,0,0,806,0,0,0,0,3045,0,0,208,0,161,0,0,265,0,0,0,363,0,0,0,0,0,0,0,0,0,126,0,4506,0,0,4600,0,0,0,0,0,0,38,84,0,0,0,0,451,0,0,0,0,0,0,1261,0,50,0,0,0,0,0,0,38,135,69,217,15,0,181,581,0,99,0,0,0,0,0,433,0,677,0,0,0,0,0,0,74,0,0,0,0,77,0,0,0,0,451,0,0,0,0,0,5368,396,22,0,0,0,0,14,194,119,268,137,0,0,0,157,103,0,0,0,0,0,102,0,0,0,0,0,0,0,670,0,0,0,0,266,38,1266,119,46,0,408,0,110,0,93,0,0,101,453,0,0,0,0,0,0,145,0,0,0,0,0,0,0,0,124,0,643,0,0,0,2301,1612,0,159,0,0,0,0,289,1057,0,82
"Cell504",0,0,0,374,0,0,275,36,136,0,3566,0,719,487,0,0,0,0,0,0,51,4773,62,203,0,0,0,205,0,0,0,131,0,586,0,167,0,0,0,0,558,149,15,0,0,6760,0,21,7973,0,418,0,0,0,0,0,183,0,0,0,136,0,0,0,346,51,0,0,0,0,0,0,121,0,0,0,0,58,110,103,336,0,19,358,624,0,192,0,1086,0,76,0,686,0,660,0,0,0,0,0,0,111,0,0,0,0,234,0,0,0,0,208,25,249,0,0,274,6703,977,0,0,0,0,115,0,0,141,379,0,0,0,181,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,766,0,28,0,315,464,0,0,202,60,0,836,0,192,1358,0,0,39,214,721,0,0,0,0,182,0,0,0,0,0,129,0,0,0,125,230,0,1183,0,0,0,2745,3909,0,159,0,0,0,0,457,1532,0,129
"Cell505",0,0,0,316,0,218,0,0,147,0,3271,0,616,276,0,0,1105,0,70,0,43,3751,0,127,169,0,202,0,0,410,0,0,0,511,0,0,0,40,0,0,356,76,0,0,146,3726,0,0,5010,0,350,0,0,0,0,0,0,0,0,0,66,334,19,0,329,24,0,226,0,0,0,0,82,0,0,0,0,0,0,90,210,0,0,232,419,0,68,0,0,0,0,0,630,0,586,0,0,0,0,427,0,0,0,0,0,0,0,0,0,0,0,0,0,159,212,231,0,4586,372,0,0,0,0,0,0,244,0,423,0,99,0,79,0,0,0,0,0,0,190,0,190,0,0,0,106,0,0,559,0,0,0,282,390,77,1374,0,0,0,434,0,0,831,0,0,19,0,555,0,0,0,0,64,232,94,0,0,0,53,116,0,0,0,0,29,0,0,0,235,2215,2137,0,0,0,0,0,0,293,949,0,0
"Cell506",0,74,0,319,0,0,210,0,132,0,3591,0,543,0,0,0,1009,0,99,0,22,4052,0,0,232,0,288,0,0,338,3,91,0,494,0,142,0,229,0,0,0,0,0,0,0,5914,0,0,7550,0,350,0,0,0,0,0,0,0,0,0,0,641,0,0,493,0,0,208,454,0,0,0,135,0,0,33,0,0,0,131,226,0,0,0,803,0,337,0,878,0,0,0,695,0,613,0,0,0,0,0,0,0,0,0,0,0,0,0,7,168,0,0,0,0,388,239,0,4947,576,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105,0,127,0,0,587,0,18,0,307,523,81,2101,148,0,145,1066,0,219,1128,93,0,0,133,605,0,0,0,0,121,260,80,31,0,0,0,0,0,0,0,0,0,1076,10,0,0,2424,3598,0,0,593,0,0,0,450,1487,0,105
"Cell507",0,0,10,374,0,260,0,0,0,0,2946,0,545,360,0,0,1019,0,0,0,63,5222,69,248,261,0,0,0,53,0,0,0,0,724,0,216,0,139,0,0,380,0,36,0,138,5613,0,0,6372,0,322,0,59,0,0,36,0,0,0,0,164,0,0,0,500,0,0,272,1712,0,108,0,0,26,0,0,97,0,153,0,0,30,0,0,597,0,0,0,599,0,74,0,0,31,704,0,0,0,0,604,0,140,0,42,0,0,0,0,0,268,0,613,0,272,279,0,290,6254,433,0,0,0,0,0,28,332,134,0,151,0,0,191,204,89,0,124,0,0,193,0,238,0,108,0,284,0,0,0,0,0,0,0,451,0,2493,262,0,124,743,83,160,1161,0,0,0,139,0,16,0,0,0,140,351,147,0,0,0,0,0,0,0,107,216,22,896,0,0,285,3893,2765,0,0,620,0,0,0,449,1373,0,0
"Cell508",0,0,9,0,0,162,214,0,98,0,2467,0,576,343,0,0,872,0,48,0,0,3365,0,122,172,88,184,0,0,0,0,97,0,391,0,0,36,0,87,0,351,75,0,0,95,4552,0,0,4577,0,0,0,0,0,108,0,80,0,0,9,123,0,0,0,0,21,0,129,538,0,0,0,107,0,0,0,0,0,81,78,0,0,0,0,498,0,108,0,667,0,0,0,0,0,518,0,19,0,0,397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,394,0,4751,310,0,0,0,0,0,0,0,92,373,0,70,0,0,123,76,0,0,0,25,96,0,127,0,0,0,0,0,0,0,0,0,0,0,0,0,1671,0,0,0,529,57,0,795,0,0,0,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,0,0,0,557,0,0,176,1985,2521,0,0,0,0,0,95,0,925,0,0
"Cell509",0,0,18,450,0,225,267,0,0,0,3521,0,652,460,0,0,0,0,77,0,45,4744,0,251,0,183,237,0,0,473,0,0,86,505,0,0,0,0,134,0,407,164,0,0,180,8868,0,0,8556,0,422,0,43,0,163,93,161,42,0,0,0,627,0,0,334,0,0,210,554,0,0,19,0,38,0,34,68,34,126,0,426,28,0,331,1095,0,188,0,727,0,0,0,727,0,944,0,0,0,0,641,0,0,0,23,0,0,0,0,0,0,0,252,0,0,349,364,388,6426,817,50,0,0,0,0,0,269,204,496,122,122,0,0,0,139,0,0,0,0,186,0,0,0,107,0,0,0,0,0,0,0,0,310,0,0,1881,141,0,186,1080,0,0,984,0,0,0,117,594,0,0,0,0,247,350,0,0,0,0,0,0,0,92,112,196,0,952,0,0,0,3417,0,0,365,670,0,0,0,416,903,0,0
"Cell510",0,0,0,0,0,138,0,0,144,0,0,0,0,0,0,0,733,0,0,0,0,2303,0,167,0,0,120,0,53,0,0,102,0,271,0,0,0,39,0,0,233,0,0,0,0,3705,0,0,4457,0,0,0,0,0,53,0,0,25,0,0,0,251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,0,197,0,0,162,414,0,0,0,704,0,0,0,340,0,0,0,0,0,0,328,0,0,0,0,0,0,46,0,0,86,0,0,0,175,0,293,245,4074,0,0,0,0,0,0,0,0,97,355,100,0,0,0,101,0,0,0,0,34,88,0,113,0,51,0,0,0,0,372,0,0,0,264,258,0,945,0,0,0,388,0,0,0,0,0,0,136,0,0,0,0,0,0,194,53,0,0,0,0,89,0,0,0,205,0,508,16,0,145,1762,2168,0,120,358,0,0,87,257,0,0,0
"Cell511",0,0,0,0,0,0,0,0,0,0,3595,0,801,390,0,0,1221,0,0,0,0,4087,0,0,199,93,223,0,59,408,0,131,0,0,0,0,0,0,0,0,0,0,0,77,122,6996,0,0,5439,0,0,0,0,0,0,0,0,0,0,0,138,0,0,0,0,0,0,158,398,0,0,0,108,0,0,0,64,0,0,0,312,0,0,279,729,44,0,0,922,0,73,0,745,0,0,0,0,0,15,513,0,0,0,0,0,0,0,0,0,88,0,0,0,192,291,0,0,6311,0,18,0,0,0,87,0,0,156,0,0,85,0,126,249,0,0,0,0,0,0,0,0,0,0,0,259,45,0,762,0,0,0,397,460,0,1422,135,0,0,492,79,0,1138,132,4,0,164,645,0,0,0,0,0,393,144,0,0,0,102,137,0,0,184,0,0,812,0,0,271,3178,3570,0,156,648,0,0,0,0,1100,0,0
"Cell512",45,0,16,0,0,325,309,0,0,0,3421,0,672,0,0,0,1014,0,126,19,0,6372,0,0,318,0,0,230,55,586,0,0,0,664,0,192,0,0,190,0,566,152,0,0,177,8300,0,0,0,0,0,0,0,0,0,63,99,0,0,0,0,512,57,0,466,0,0,317,628,0,0,0,0,0,0,59,0,0,184,0,391,0,0,0,889,0,287,0,1062,0,66,0,767,0,738,0,0,0,0,625,0,138,0,0,0,0,0,0,0,197,0,343,23,0,398,459,291,6228,1020,0,0,0,0,100,0,0,0,629,0,95,0,144,223,0,0,0,0,0,218,0,295,0,0,0,0,59,0,896,0,0,0,0,407,0,2365,0,66,176,1106,0,0,1366,118,0,0,248,889,0,0,0,0,0,312,106,0,0,0,0,83,0,123,0,0,0,1205,0,0,390,3914,3766,0,0,779,0,0,0,370,1359,10,0
"Cell513",0,0,0,307,0,0,317,0,185,0,2802,0,747,377,0,0,0,0,0,0,0,5390,0,256,298,147,0,0,74,483,0,163,0,470,0,126,55,71,0,0,462,130,0,137,0,5344,0,0,6154,0,383,0,0,0,177,0,0,53,0,0,0,923,0,11,317,0,0,0,0,0,0,0,0,0,0,0,0,0,132,126,0,12,0,0,888,0,0,0,1161,0,49,0,658,0,731,0,0,0,0,503,0,0,32,0,0,0,87,0,10,226,0,298,0,246,253,409,0,5538,428,0,0,0,0,0,0,283,133,798,192,0,0,0,255,0,0,0,0,0,217,0,0,0,0,0,221,0,0,877,0,12,0,350,478,0,1617,0,0,0,724,0,181,0,0,0,0,0,568,0,0,0,0,0,242,124,0,0,0,0,133,0,64,173,0,0,0,0,0,433,3208,3066,0,0,570,0,0,91,426,977,0,125
"Cell514",33,0,0,458,0,257,335,0,222,0,3166,0,0,456,0,0,1330,0,0,0,33,5089,20,0,282,0,282,218,0,564,0,0,0,617,0,175,0,0,119,0,385,150,0,143,187,5977,0,0,7046,0,345,0,0,0,0,0,0,0,0,0,112,667,0,0,366,0,0,181,609,0,0,0,160,0,0,0,0,64,159,0,389,38,0,0,0,0,160,0,1162,0,81,0,708,0,718,0,26,0,0,579,0,137,0,0,0,0,116,0,0,221,0,315,55,0,302,492,333,7743,0,0,0,13,0,0,0,292,134,0,178,0,0,114,174,0,0,86,0,0,0,0,0,0,90,0,0,0,0,510,0,17,0,0,355,0,1528,0,0,132,748,0,0,1807,0,0,0,206,495,0,0,0,0,0,323,90,47,0,0,0,196,0,126,212,224,0,1013,0,0,0,3098,4189,0,270,556,0,0,0,480,0,0,195
"Cell515",0,0,0,329,0,254,171,0,0,0,2740,0,448,390,0,0,685,0,0,0,0,3478,0,0,0,0,0,0,0,0,0,0,0,590,0,0,35,127,80,0,395,0,0,0,0,4752,0,0,6506,0,0,0,0,0,0,0,94,0,0,0,0,553,0,0,275,57,0,104,1592,6,0,0,100,0,0,44,58,23,132,0,253,0,0,0,540,0,125,0,511,0,0,0,601,10,632,0,0,0,0,0,0,0,0,0,0,0,77,0,0,179,0,429,18,0,0,318,199,4965,295,0,0,0,0,74,20,0,105,316,0,0,0,0,168,73,0,126,0,0,171,0,209,0,55,0,0,0,0,543,0,0,0,0,329,0,1667,126,0,0,561,0,176,1014,90,0,0,172,359,0,0,0,0,0,331,128,0,0,0,61,0,0,74,0,159,0,617,0,0,0,2915,1943,0,0,480,0,0,94,284,801,0,0
"Cell516",0,39,0,0,30,277,277,0,118,0,2689,0,563,0,0,0,761,0,0,0,0,5070,0,200,223,0,187,177,0,0,0,0,0,445,0,0,0,0,94,0,0,165,0,0,186,6097,0,31,5646,0,321,0,0,0,0,59,0,0,0,0,0,538,0,0,265,66,0,135,1235,0,0,0,148,0,0,0,0,0,0,0,277,0,33,0,661,0,0,0,0,0,0,0,685,0,800,0,20,0,0,511,0,0,0,0,0,0,0,0,0,0,0,0,0,231,171,424,324,6561,481,0,0,0,0,0,28,0,0,400,189,0,0,171,0,135,0,123,0,0,166,157,0,0,0,0,213,0,0,0,40,0,0,0,0,0,1699,115,0,0,556,136,154,0,0,0,0,0,679,0,0,0,0,140,0,0,0,0,0,0,0,0,0,92,158,0,831,0,0,276,2892,1907,0,319,521,0,0,0,244,1063,0,0
"Cell517",0,0,0,415,0,186,0,0,0,22,3177,0,970,342,0,0,1428,0,120,0,0,4278,0,236,0,0,329,0,0,451,0,0,0,549,0,0,0,0,142,0,348,0,0,0,0,6679,0,0,7817,0,372,0,38,0,144,67,0,0,0,7,0,591,0,0,404,0,0,204,752,0,0,0,0,0,0,0,0,0,113,161,0,0,0,0,787,0,0,0,1196,0,100,0,736,0,766,0,0,0,0,607,0,0,38,0,53,0,136,0,10,224,0,292,0,264,355,400,0,7158,586,0,0,0,0,83,0,0,0,678,0,0,0,0,303,142,0,0,0,0,0,0,332,0,104,0,243,0,0,0,0,0,0,384,569,80,0,0,0,139,560,85,183,1301,187,0,31,0,652,17,0,0,0,46,295,190,0,0,0,184,0,0,0,248,0,0,782,0,16,338,3072,3745,0,245,793,0,0,0,448,1363,0,85
"Cell518",0,0,0,245,0,207,0,0,130,0,2525,0,501,0,0,0,844,0,0,0,0,2993,19,119,215,0,146,0,0,354,0,0,0,379,0,146,0,0,0,0,272,0,0,0,0,4031,0,0,5888,0,0,0,0,0,0,0,0,0,0,0,105,0,0,0,264,42,0,178,0,0,0,0,125,20,0,0,48,59,0,0,0,0,0,144,584,10,0,0,0,0,0,0,496,0,616,0,0,0,0,317,0,0,0,0,14,0,112,0,0,0,0,119,0,0,224,197,179,3909,243,0,0,0,0,0,0,0,89,376,97,61,0,0,0,0,0,0,0,0,96,0,194,0,0,0,85,0,0,0,0,0,0,258,0,0,0,0,0,0,518,0,85,757,0,0,0,72,451,0,0,0,0,0,369,0,0,0,0,48,70,0,52,146,162,0,0,0,0,180,2141,2450,0,0,360,0,0,0,305,0,0,61
